Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,FrOvLi,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2.75,-5.0,-0.0856,-1.6944,-0.9446,2.8866,4.2518,FailureType.no_failure,FailureType.no_failure,0.5708,FailureType.no_failure,0.5764,0.0,1.1922000000000001,FailureType.no_failure,0.1043,FailureType.no_failure,0.5266,0.0000,0.5708,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,-1.5196,-1.629,-0.851,2.5508,4.2706,FailureType.no_failure,FailureType.no_failure,0.5734,FailureType.no_failure,0.5764,0.0,0.9218000000000002,FailureType.no_failure,0.1044,FailureType.no_failure,0.5254,0.0000,0.5734,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,-1.1351,-1.6094,-0.8031,2.3802,4.2758,FailureType.no_failure,FailureType.no_failure,0.5760,FailureType.no_failure,0.5764,0.0,0.7707999999999999,FailureType.no_failure,0.1044,FailureType.no_failure,0.5236,0.0000,0.5760,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,-0.4713,-1.6014,-0.767,2.2521,4.2774,FailureType.no_failure,FailureType.no_failure,0.5784,FailureType.no_failure,0.5764,0.0,0.6507000000000001,FailureType.no_failure,0.1245,FailureType.no_failure,0.5219,0.0000,0.5784,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,-0.4594,-1.6056,-0.7433,2.168,4.2754,FailureType.no_failure,FailureType.no_failure,0.5810,FailureType.no_failure,0.5764,0.0,0.5624000000000002,FailureType.no_failure,0.1045,FailureType.no_failure,0.5208,0.0000,0.5810,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,-0.0171,-1.6146,-0.725,2.1021,4.2717,FailureType.no_failure,FailureType.no_failure,0.5836,FailureType.no_failure,0.5764,0.0,0.48750000000000004,FailureType.no_failure,0.0995,FailureType.no_failure,0.5206,0.0000,0.5836,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,-0.0838,-1.6293,-0.7126,2.057,4.2662,FailureType.no_failure,FailureType.no_failure,0.5860,FailureType.no_failure,0.5764,0.0,0.42769999999999997,FailureType.no_failure,0.1095,FailureType.no_failure,0.5211,0.0000,0.5860,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,0.1558,-1.6452,-0.7017,2.0165,4.2601,FailureType.no_failure,FailureType.no_failure,0.5911,FailureType.no_failure,0.5764,0.0,0.3713000000000002,FailureType.no_failure,0.1045,FailureType.no_failure,0.5223,0.0000,0.5911,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,0.1553,-1.6634,-0.6932,1.9847,4.2532,FailureType.no_failure,FailureType.no_failure,0.5936,FailureType.no_failure,0.5764,0.0,0.3212999999999999,FailureType.no_failure,0.0945,FailureType.no_failure,0.5236,0.0000,0.5936,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,0.2145,-1.6816,-0.6847,1.9532,4.2462,FailureType.no_failure,FailureType.no_failure,0.5886,FailureType.no_failure,0.5764,0.0,0.27160000000000006,FailureType.no_failure,0.0895,FailureType.no_failure,0.5246,0.0000,0.5886,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,0.319,-1.7002,-0.6767,1.9237,4.2389,FailureType.no_failure,FailureType.no_failure,0.5936,FailureType.no_failure,0.5764,0.0,0.22350000000000003,FailureType.no_failure,0.1095,FailureType.no_failure,0.5250,0.0000,0.5936,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,0.2254,-1.7184,-0.6681,1.8931,4.2315,FailureType.no_failure,FailureType.no_failure,0.5987,FailureType.no_failure,0.5764,0.0,0.17470000000000008,FailureType.no_failure,0.1045,FailureType.no_failure,0.5248,0.0000,0.5987,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,0.4291,-1.7358,-0.6586,1.8596,4.2243,FailureType.no_failure,FailureType.no_failure,0.6011,FailureType.no_failure,0.5764,0.0,0.12379999999999991,FailureType.no_failure,0.1045,FailureType.no_failure,0.5241,0.0000,0.6011,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,0.2235,-1.7526,-0.6487,1.8248,4.217,FailureType.no_failure,FailureType.no_failure,0.5986,FailureType.no_failure,0.5764,0.0,0.07220000000000004,FailureType.no_failure,0.1046,FailureType.no_failure,0.5232,0.0000,0.5986,0.0000,0.5764,0.0000,NO
Distance,2.75,-5.0,0.4885,-1.7676,-0.637,1.7837,4.2102,FailureType.no_failure,FailureType.no_failure,0.6037,FailureType.no_failure,0.5764,0.0,0.016100000000000003,FailureType.no_failure,0.1245,FailureType.no_failure,0.5224,0.0000,0.6037,0.0000,0.5764,0.0000,NO
Speed,10,-3.5,0.2283,-1.5428,-1.5428,5.05,1.9218,FailureType.no_failure,FailureType.no_failure,0.0315,FailureType.no_failure,0.5167,0.0,3.5072,FailureType.no_failure,0.0315,FailureType.no_failure,0.5167,0.0000,0.0315,0.0000,0.5167,0.0000,NO